draw,mu_1,sigma
62,-0.0024178121238946915,0.41528937220573425
63,0.019920170307159424,0.4264959990978241
64,0.03268851339817047,0.40540221333503723
65,-0.0009323395788669586,0.47573864459991455
66,-0.0044984836131334305,0.4159063994884491
67,-0.0025312304496765137,0.43565425276756287
68,0.059552811086177826,0.4481634497642517
69,0.03628077358007431,0.422838032245636
70,0.04872602969408035,0.41396984457969666
71,-0.009080490097403526,0.4826012849807739
72,0.027229493483901024,0.45244652032852173
73,-0.04147180914878845,0.4277791678905487
74,-0.006426280364394188,0.4568624794483185
75,-0.03971681743860245,0.45854562520980835
76,0.044797033071517944,0.3844350278377533
77,0.045227713882923126,0.46832728385925293
78,0.047590628266334534,0.43507328629493713
79,0.04325220361351967,0.4545170068740845
80,0.0038703829050064087,0.4509506821632385
81,0.09325853735208511,0.42673617601394653
82,0.04017646983265877,0.43254029750823975
83,0.021705031394958496,0.42240801453590393
84,0.06440027058124542,0.4408307373523712
85,-0.001694798469543457,0.4181336760520935
86,0.0675901472568512,0.4433645009994507
87,0.03968099504709244,0.4659551978111267
88,0.020433757454156876,0.4543413817882538
89,0.03713637962937355,0.47898468375205994
90,0.0859309509396553,0.4431263506412506
91,0.009143700823187828,0.41070446372032166
92,0.04555557668209076,0.49907439947128296
93,0.08254947513341904,0.4395175576210022
94,0.04792412370443344,0.4725421667098999
95,-0.004965001717209816,0.4486912190914154
96,-0.012478386983275414,0.4060429036617279
97,0.006077589467167854,0.43350663781166077
98,-0.004706637933850288,0.4224059581756592
99,0.05301372706890106,0.4545884430408478
100,0.06731785088777542,0.41728687286376953
101,0.017353955656290054,0.4269183576107025
102,0.023677732795476913,0.4627929627895355
103,0.04401630908250809,0.46686598658561707
104,0.09397683292627335,0.38581737875938416
105,-0.0006681475788354874,0.45800021290779114
106,0.04256013035774231,0.4445360600948334
107,0.04667746275663376,0.46493789553642273
108,0.015589263290166855,0.4266292452812195
109,0.049186818301677704,0.4281032085418701
110,0.043986279517412186,0.44092854857444763
111,-0.022841012105345726,0.44014307856559753
112,0.06413349509239197,0.5390006899833679
113,0.06328127533197403,0.4272814691066742
114,0.009967010468244553,0.4828379154205322
115,0.05140432342886925,0.4196608364582062
116,0.029789088293910027,0.41189315915107727
117,0.06976987421512604,0.4211580157279968
118,0.01240517944097519,0.4345816373825073
119,0.021118896082043648,0.4675370156764984
120,0.0239114910364151,0.4857652187347412
121,-0.004573555663228035,0.4373385012149811
122,0.05591994896531105,0.4545010030269623
123,0.041173603385686874,0.4261353313922882
124,0.04945662245154381,0.4487367570400238
125,-0.02305741049349308,0.4316452145576477
126,0.07659058272838593,0.4249134659767151
127,0.04766356945037842,0.42776933312416077
128,0.034799765795469284,0.5022716522216797
129,0.019382458180189133,0.4383525848388672
130,0.04528960958123207,0.47944676876068115
131,0.007998811081051826,0.4824940264225006
132,0.02174186334013939,0.4528823792934418
133,0.024113062769174576,0.4413653016090393
134,-0.011189119890332222,0.4434262812137604
135,0.051844630390405655,0.44124817848205566
136,-0.041701339185237885,0.46667975187301636
137,0.015509022399783134,0.4102989137172699
138,0.03904913365840912,0.46917930245399475
139,0.05077585205435753,0.4591931998729706
140,0.06394771486520767,0.4448169767856598
141,0.0015421081334352493,0.42233002185821533
142,0.06431933492422104,0.43493667244911194
143,-0.009328784421086311,0.4857562780380249
144,0.0977436825633049,0.49545496702194214
145,0.06594369560480118,0.46121931076049805
146,-0.011329060420393944,0.4200255870819092
147,0.01766870729625225,0.37669745087623596
148,0.04319743067026138,0.44635385274887085
149,-0.04363393038511276,0.46197080612182617
150,-0.03435205668210983,0.4563482403755188
151,-0.010234447196125984,0.4628555476665497
152,-0.007118945941329002,0.4624980688095093
153,0.029344690963625908,0.39532721042633057
154,-0.008468205109238625,0.4803299605846405
155,0.10086130350828171,0.4062577486038208
156,0.014105543494224548,0.4504530429840088
157,0.0032560881227254868,0.4135624170303345
158,0.09291849285364151,0.4171544313430786
159,-0.04683160036802292,0.4778677225112915
160,-0.025727884843945503,0.4309313893318176
161,-0.008337991312146187,0.4311722218990326
162,0.021136023104190826,0.46972551941871643
163,-0.018611719831824303,0.45212188363075256
164,0.10056619346141815,0.4683491885662079
165,0.0014198068529367447,0.46448904275894165
166,0.0382826067507267,0.4338575303554535
167,-0.022121211513876915,0.4253860116004944
168,0.015495872125029564,0.432742178440094
169,0.043879881501197815,0.4472402036190033
170,0.03281906247138977,0.4223954677581787
171,0.008979974314570427,0.4483189284801483
172,0.001345483586192131,0.4437234401702881
173,-0.004574427381157875,0.4646965265274048
174,0.014981970191001892,0.47944143414497375
175,0.012608218938112259,0.4662960171699524
176,0.09543728083372116,0.45792850852012634
177,0.0006933640688657761,0.4483053684234619
178,0.04122931882739067,0.435872882604599
179,0.028368158265948296,0.4481452405452728
180,0.04979667812585831,0.48069968819618225
181,0.00880655087530613,0.439789354801178
182,0.005445808172225952,0.42422837018966675
183,-0.030588479712605476,0.4327881336212158
184,0.021847005933523178,0.41781559586524963
185,0.0470341295003891,0.47228190302848816
186,0.03893513232469559,0.45859694480895996
187,0.024525567889213562,0.4456437826156616
188,0.05950700119137764,0.41363075375556946
189,0.02363794669508934,0.42327794432640076
190,0.040210820734500885,0.44809457659721375
191,0.065068319439888,0.4318738579750061
192,0.0644274577498436,0.44056904315948486
193,0.0043832771480083466,0.4550696909427643
194,0.0594499409198761,0.44676241278648376
195,0.09308910369873047,0.46418991684913635
196,0.05504648759961128,0.4179628789424896
197,0.0036642365157604218,0.4122397005558014
198,-0.03050352819263935,0.438545286655426
199,0.05040832608938217,0.4467584192752838
200,0.08860394358634949,0.4667939245700836
201,0.02694646455347538,0.428909569978714
202,0.033443305641412735,0.44718241691589355
203,0.11441264301538467,0.5104290843009949
204,0.11275813728570938,0.44392678141593933
205,0.02248377352952957,0.42532268166542053
206,0.08080204576253891,0.4145190715789795
207,0.023102331906557083,0.4324524402618408
208,0.0658719390630722,0.45591095089912415
209,0.0451432541012764,0.44068634510040283
210,-0.020560773089528084,0.481579065322876
211,-0.07856518030166626,0.4229108393192291
212,0.006426429376006126,0.45655620098114014
213,-0.0028241071850061417,0.43117305636405945
214,0.028772464022040367,0.43539994955062866
215,0.011077016592025757,0.44737645983695984
